90399,合成酒その他,24
90401,焼酎甲,25
90402,焼酎　甲乙混和,25
90499,焼酎甲その他,25
90501,麦焼酎,25
90502,米焼酎,25
90503,そば焼酎,25
90504,泡盛,25
90505,芋焼酎,25
90506,黒糖焼酎,25
90599,焼酎乙その他,25
90701,フランスワイン,26
90702,国産ワイン,26
90703,チリワイン,26
90704,カリフォルニアワイン,26
90705,オーストラリアワイン,26
90706,ブルガリアワイン,26
90707,南アフリカワイン,26
90708,アルゼンチンワイン,26
90709,ドイツワイン,26
90710,スペインワイン,26
90711,イタリアワイン,26
90712,スパークリングワイン,26
90799,ワインその他,26
90801,甘味果実,26
90899,甘味果実酒その他,26
90901,サントリーウイスキー,27
90902,ニッカウイスキー,27
90903,スコッチ,27
90904,バーボン,27
90905,カナディアン,27
90906,テネシー,27
90907,アイリッシュ,27
90999,ウイスキーその他,27
91001,国産ブランデー,27
91002,輸入ブランデー,27
91099,ブランデーその他,27
91101,ジン,28
91102,ウォッカ,28
91103,テキーラ,28
91104,ラム,28
91199,その他スピリッツ,28
91901,ノンアルコール,28
91902,ワイングッツ,28
